,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
P1,0,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,100000
P2,100000,0,100000,1,100000,1,100000,1,1,100000,100000,100000
P3,100000,100000,0,100000,100000,1,100000,1,100000,1,1,100000
P4,100000,1,100000,0,100000,1,100000,1,100000,100000,100000,100000
P5,1,100000,100000,100000,0,100000,100000,100000,1,100000,100000,100000
P6,100000,1,1,1,100000,0,100000,1,100000,100000,100000,100000
P7,100000,100000,100000,100000,100000,100000,0,100000,100000,100000,1,100000
P8,100000,1,1,1,100000,1,100000,0,100000,100000,100000,100000
P9,100000,1,100000,100000,1,100000,100000,100000,0,100000,100000,100000
P10,100000,100000,1,100000,100000,100000,100000,100000,100000,0,1,1
P11,100000,100000,1,100000,100000,100000,1,100000,100000,1,0,100000
P12,100000,100000,100000,100000,100000,100000,100000,100000,100000,1,100000,0
